MemberID,Branch,BranchType,TransactionType,TransactionDate,SubscriptionDuration,ExpiryDate,Amount,ReadingFee,UsedCoupon,CouponCode
MEM0128,Branch C,Urban,Downgrade,2022-12-07,1,2023-01-06,65.21212062790025,45.42522393469127,False,
MEM0022,Branch B,Suburban,Renewal,2022-08-06,1,2022-09-05,213.74899264756735,0.0,False,
MEM0395,Branch E,Rural,New Signup,2021-09-16,6,2022-03-15,283.67073816972743,0.0,False,
MEM0169,Branch E,Suburban,Upgrade,2022-04-13,3,2022-07-12,151.0915297063317,0.0,False,
MEM0165,Branch C,Suburban,Renewal,2021-07-06,6,2022-01-02,139.07893590731229,44.6079424159194,False,
MEM0381,Branch C,Rural,Renewal,2023-12-08,12,2024-12-02,472.21869429575423,40.82028128520758,False,
MEM0115,Branch D,Suburban,New Signup,2021-09-06,6,2022-03-05,480.0210194375115,43.226608896242176,False,
MEM0361,Branch C,Rural,Cancellation,2020-09-10,24,2022-08-31,363.1829820326632,34.1211571529757,False,
MEM0491,Branch A,Urban,Downgrade,2023-04-08,24,2025-03-28,357.4662348387411,0.0,False,
MEM0244,Branch B,Suburban,Renewal,2021-07-23,3,2021-10-21,435.2448563686599,7.334424537386592,False,
MEM0283,Branch B,Rural,New Signup,2023-12-11,3,2024-03-10,461.8946074922962,13.983594888924888,False,
MEM0073,Branch D,Suburban,Downgrade,2020-06-23,1,2020-07-23,395.1008159960711,20.90908267636074,True,COUPON02
MEM0305,Branch D,Rural,Downgrade,2020-10-11,24,2022-10-01,142.4078957124986,45.387570543054785,False,
MEM0029,Branch A,Urban,Renewal,2021-01-21,24,2023-01-11,206.40908685953005,0.0,False,
MEM0055,Branch E,Urban,Cancellation,2022-06-19,36,2025-06-03,130.32186001776188,0.0,False,
MEM0320,Branch B,Urban,Renewal,2021-01-31,36,2024-01-16,159.65932701265706,12.951214875165611,False,
MEM0321,Branch B,Urban,Upgrade,2020-10-23,12,2021-10-18,182.4478343677825,31.148768263592515,False,
MEM0498,Branch B,Suburban,Upgrade,2022-12-03,1,2023-01-02,368.42933826789385,24.504621871991684,True,COUPON05
MEM0141,Branch B,Suburban,Downgrade,2021-04-11,36,2024-03-26,275.2376679894516,32.744459815017365,False,
MEM0176,Branch D,Rural,Renewal,2020-03-29,1,2020-04-28,265.1264533531149,32.29381405195774,False,
MEM0244,Branch A,Urban,Renewal,2023-12-24,3,2024-03-23,134.11278717901266,0.0,False,
MEM0482,Branch E,Urban,Cancellation,2023-04-28,3,2023-07-27,386.50763325774165,21.18361758761425,False,
MEM0168,Branch C,Rural,Upgrade,2021-01-23,6,2021-07-22,134.00710876672588,0.0,True,COUPON10
MEM0377,Branch D,Urban,Cancellation,2020-04-29,1,2020-05-29,490.44011441796886,28.254040455862043,False,
MEM0440,Branch A,Rural,Cancellation,2022-11-30,24,2024-11-19,379.2392264353728,30.753846277151116,False,
MEM0023,Branch B,Rural,New Signup,2020-06-16,6,2020-12-13,303.18376894989325,38.46508600117879,False,
MEM0496,Branch A,Suburban,Cancellation,2023-06-15,24,2025-06-04,426.66806484655154,0.0,False,
MEM0413,Branch B,Rural,Upgrade,2023-05-22,24,2025-05-11,371.6023752311074,47.035884113478154,False,
MEM0159,Branch D,Suburban,Cancellation,2020-12-23,36,2023-12-08,165.70429114699797,0.0,False,
MEM0008,Branch A,Urban,Renewal,2020-08-02,24,2022-07-23,329.4559459720194,21.933535051923872,True,COUPON10
MEM0028,Branch E,Suburban,Cancellation,2020-06-30,6,2020-12-27,310.274973809474,47.849879521231365,False,
MEM0240,Branch C,Urban,Cancellation,2023-01-28,12,2024-01-23,123.46162484530709,0.0,True,COUPON10
MEM0487,Branch C,Urban,Downgrade,2020-05-02,12,2021-04-27,258.59698191961445,0.0,False,
MEM0425,Branch E,Suburban,Cancellation,2022-02-09,24,2024-01-30,91.00327659945617,46.44358120103794,True,COUPON07
MEM0420,Branch D,Urban,New Signup,2020-07-19,12,2021-07-14,268.49523743445025,30.757164346769798,False,
MEM0139,Branch A,Urban,New Signup,2023-12-27,1,2024-01-26,477.4439915648316,0.0,False,
MEM0131,Branch D,Suburban,Downgrade,2022-02-24,6,2022-08-23,223.23646059567307,33.50571939270445,False,
MEM0378,Branch B,Suburban,New Signup,2021-04-17,36,2024-04-01,330.30822939265346,41.4042542623043,False,
MEM0327,Branch E,Urban,Upgrade,2021-06-13,6,2021-12-10,54.164588239220336,40.425232323061635,False,
MEM0270,Branch E,Suburban,New Signup,2021-01-30,36,2024-01-15,317.11928044249424,8.448148905568058,True,COUPON06
MEM0113,Branch C,Suburban,New Signup,2020-02-15,36,2023-01-30,475.60894943209854,0.0,True,COUPON03
MEM0218,Branch C,Suburban,Upgrade,2020-10-14,1,2020-11-13,471.94717232351223,46.0490161388675,True,COUPON09
MEM0346,Branch A,Rural,New Signup,2021-04-07,24,2023-03-28,321.71930389288264,45.468080574861204,False,
MEM0111,Branch D,Suburban,Cancellation,2023-07-10,1,2023-08-09,296.15539901072816,0.0,False,
MEM0214,Branch B,Suburban,Downgrade,2023-04-07,3,2023-07-06,481.7938132592999,0.0,True,COUPON09
MEM0461,Branch E,Suburban,Upgrade,2023-09-24,36,2026-09-08,382.8546411051082,0.0,False,
MEM0167,Branch B,Rural,Upgrade,2023-04-25,1,2023-05-25,373.30023907244436,17.780181849040538,False,
MEM0132,Branch D,Suburban,New Signup,2023-05-09,6,2023-11-05,485.79774877007816,35.301870130278445,False,
MEM0057,Branch C,Suburban,Cancellation,2021-10-19,24,2023-10-09,456.02677965772,8.34095420530936,False,
MEM0181,Branch C,Urban,Cancellation,2022-07-03,36,2025-06-17,181.30638488171894,45.09273727825844,True,COUPON08
MEM0316,Branch E,Urban,Renewal,2021-05-30,36,2024-05-14,86.32293894649405,33.49078345574389,True,COUPON06
MEM0153,Branch E,Rural,Downgrade,2020-09-10,12,2021-09-05,337.3927536706588,0.0,False,
MEM0432,Branch B,Suburban,Cancellation,2023-02-27,24,2025-02-16,165.74168624630272,48.69053125647004,False,
MEM0207,Branch B,Rural,New Signup,2023-07-29,36,2026-07-13,447.99234701522295,11.702575984408654,True,COUPON09
MEM0005,Branch A,Rural,Renewal,2021-08-06,36,2024-07-21,283.49903931527587,0.0,False,
MEM0163,Branch E,Suburban,New Signup,2022-02-20,1,2022-03-22,384.97133483058457,0.0,True,COUPON02
MEM0036,Branch A,Rural,Downgrade,2022-02-20,1,2022-03-22,425.41066490036894,48.2181369018019,False,
MEM0256,Branch B,Suburban,Upgrade,2023-07-28,12,2024-07-22,229.99131822725306,0.0,False,
MEM0306,Branch B,Suburban,Upgrade,2020-12-09,6,2021-06-07,390.6888010307688,0.0,False,
MEM0166,Branch B,Suburban,New Signup,2021-11-09,1,2021-12-09,192.84105175610392,31.36897950666818,False,
MEM0340,Branch B,Urban,Downgrade,2021-11-15,12,2022-11-10,455.5707903435277,23.56966074013871,False,
MEM0282,Branch D,Suburban,Upgrade,2022-09-07,24,2024-08-27,327.24630493298565,0.0,False,
MEM0257,Branch C,Suburban,Cancellation,2021-01-22,36,2024-01-07,389.0057724821874,38.133284232385286,False,
MEM0362,Branch B,Suburban,Downgrade,2022-10-05,6,2023-04-03,316.58688374077025,6.343005550964978,True,COUPON01
MEM0386,Branch E,Suburban,New Signup,2021-03-03,6,2021-08-30,252.52189660328105,14.19843811036823,False,
MEM0099,Branch E,Rural,Cancellation,2021-01-30,36,2024-01-15,147.35684830504042,0.0,False,
MEM0366,Branch B,Urban,Cancellation,2023-01-31,3,2023-05-01,256.4133799521114,16.399773113197938,False,
MEM0094,Branch B,Urban,Renewal,2021-11-18,6,2022-05-17,359.82017779932033,35.41459948808833,False,
MEM0487,Branch D,Urban,New Signup,2020-03-23,24,2022-03-13,116.93551675840348,0.0,True,COUPON03
MEM0443,Branch E,Rural,Upgrade,2021-01-11,1,2021-02-10,183.0296993206913,43.58422643031975,True,COUPON02
MEM0046,Branch D,Rural,New Signup,2023-10-03,6,2024-03-31,479.532805409783,0.0,False,
MEM0026,Branch E,Rural,Downgrade,2023-04-13,12,2024-04-07,467.89737699026284,23.662623667973275,False,
MEM0186,Branch C,Urban,Downgrade,2022-06-09,3,2022-09-07,144.5147858488367,0.0,True,COUPON08
MEM0246,Branch A,Rural,Upgrade,2022-06-03,6,2022-11-30,418.95471121846407,6.851591141065679,False,
MEM0434,Branch D,Rural,Upgrade,2021-05-28,6,2021-11-24,160.89724870162289,26.80697255573317,True,COUPON09
MEM0133,Branch C,Rural,Downgrade,2023-11-22,1,2023-12-22,335.6930926330176,0.0,False,
MEM0297,Branch C,Rural,Cancellation,2023-04-02,6,2023-09-29,420.7249107122816,20.117838719926244,True,COUPON02
